localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
bahia blanca,buenos aires,6,gnc,26,2019-07-12 11:19:00,2,ypf,-38.69556,-62.27622
bahia blanca,buenos aires,6,gnc,26,2019-07-12 11:19:00,2,ypf,-38.69556,-62.27622
bahia blanca,buenos aires,6,gnc,26,2019-07-12 11:20:00,2,ypf,-38.715715,-62.303682
bahia blanca,buenos aires,6,gnc,26,2019-07-12 11:20:00,2,ypf,-38.715715,-62.303682
ciudadela,buenos aires,6,gnc,16,2019-07-16 11:03:00,2,ypf,-34.65397,-58.52932
ciudadela,buenos aires,6,gnc,17,2019-07-16 11:03:00,2,ypf,-34.65397,-58.52932
capital federal,capital federal,6,gnc,20,2019-08-09 14:04:00,2,ypf,-34.65168,-58.40767
capital federal,capital federal,6,gnc,20,2019-08-09 14:04:00,2,ypf,-34.65168,-58.40767
gdor baigorria,santa fe,6,gnc,24,2019-08-09 14:54:00,2,ypf,-32.85818,-60.7044
gdor baigorria,santa fe,6,gnc,24,2019-08-09 14:54:00,2,ypf,-32.85818,-60.7044
teodelina,santa fe,6,gnc,24,2019-09-09 19:42:00,1,blanca,-34.176406,-61.52419
teodelina,santa fe,6,gnc,24,2019-09-09 19:42:00,1,blanca,-34.176406,-61.52419
rio cuarto,cordoba,6,gnc,22,2019-09-30 00:00:00,2,ypf,-33.133731,-64.352734
rio cuarto,cordoba,6,gnc,22,2019-09-30 00:00:00,2,ypf,-33.133731,-64.352734
gerli,buenos aires,6,gnc,20,2019-10-05 12:00:00,2,ypf,-34.684504,-58.385979
gerli,buenos aires,6,gnc,20,2019-10-05 12:00:00,2,ypf,-34.684504,-58.385979
ezeiza,buenos aires,6,gnc,23,2019-11-01 06:00:00,4,shell,-34.850193,-58.504845
ezeiza,buenos aires,6,gnc,23,2019-11-01 06:00:00,4,shell,-34.850193,-58.504845
bahia blanca,buenos aires,6,gnc,28,2019-11-01 11:38:00,26,axion,-38.6912,-62.23381667
bahia blanca,buenos aires,6,gnc,28,2019-11-01 11:38:00,26,axion,-38.6912,-62.23381667
malargue,mendoza,6,gnc,27,2019-11-11 00:00:00,26,axion,-35.4559,-69.58617
malargue,mendoza,6,gnc,27,2019-11-11 00:00:00,26,axion,-35.4559,-69.58617
mendoza,mendoza,6,gnc,27,2019-11-14 07:16:00,4,shell,-32.891192,-68.830971
mendoza,mendoza,6,gnc,27,2019-11-14 07:16:00,4,shell,-32.891192,-68.830971
godoy cruz,mendoza,6,gnc,26,2019-11-15 11:45:00,1,blanca,-32.90452,-68.839272
godoy cruz,mendoza,6,gnc,26,2019-11-15 11:45:00,1,blanca,-32.90452,-68.839272
mendoza,mendoza,6,gnc,27,2019-11-15 11:48:00,2,ypf,-32.9591,-68.79003
mendoza,mendoza,6,gnc,27,2019-11-15 11:48:00,2,ypf,-32.9591,-68.79003
guaymallen,mendoza,6,gnc,26,2019-11-15 14:04:00,2,ypf,-32.92569,-68.83679
guaymallen,mendoza,6,gnc,26,2019-11-15 14:04:00,2,ypf,-32.92569,-68.83679
mar del plata,buenos aires,6,gnc,28,2019-11-18 14:00:00,2,ypf,-38.050168,-57.544792
mar del plata,buenos aires,6,gnc,28,2019-11-18 14:00:00,2,ypf,-38.050168,-57.544792
castelli,buenos aires,6,gnc,29,2019-11-22 14:59:00,1,blanca,-36.099009,-57.808253
castelli,buenos aires,6,gnc,29,2019-11-22 14:59:00,1,blanca,-36.099009,-57.808253
la plata,buenos aires,6,gnc,26,2019-11-30 14:06:00,1,blanca,-34.90939,-57.97998
la plata,buenos aires,6,gnc,26,2019-11-30 14:06:00,1,blanca,-34.90939,-57.97998
neuquen,neuquen,6,gnc,24,2019-12-03 00:00:00,1,blanca,-38.954322,-68.078971
neuquen,neuquen,6,gnc,24,2019-12-03 00:00:00,1,blanca,-38.954322,-68.078971
neuquen,neuquen,6,gnc,24,2019-12-03 00:00:00,1,blanca,-38.947347,-68.100938
neuquen,neuquen,6,gnc,24,2019-12-03 00:00:00,1,blanca,-38.947347,-68.100938
capitan bermudez,santa fe,6,gnc,25,2019-12-05 13:30:00,2,ypf,-32.81186,-60.71775
capitan bermudez,santa fe,6,gnc,25,2019-12-05 13:30:00,2,ypf,-32.81186,-60.71775
merlo,san luis,6,gnc,30,2019-12-09 15:05:00,1,blanca,-32.356555,-65.015784
merlo,san luis,6,gnc,30,2019-12-09 15:05:00,1,blanca,-32.356555,-65.015784
la carlota,cordoba,6,gnc,27,2019-12-10 10:15:00,2,ypf,-33.39482,-63.30233
la carlota,cordoba,6,gnc,27,2019-12-10 10:15:00,2,ypf,-33.39482,-63.30233
rafaela,santa fe,6,gnc,30,2019-12-17 08:39:00,1,blanca,-31.25019,-61.50571
rafaela,santa fe,6,gnc,30,2019-12-17 08:39:00,1,blanca,-31.25019,-61.50571
las talitas,tucuman,6,gnc,25,2019-12-21 14:50:00,1,blanca,-26.790011,-65.186776
las talitas,tucuman,6,gnc,25,2019-12-21 14:50:00,1,blanca,-26.790011,-65.186776
chajari,entre rios,6,gnc,30,2019-12-23 15:21:00,1,blanca,-30.757152,-57.991531
chajari,entre rios,6,gnc,30,2019-12-23 15:21:00,1,blanca,-30.757152,-57.991531
villa mercedes,san luis,6,gnc,30,2020-01-01 15:11:00,1,blanca,-33.692671,-65.44963
villa mercedes,san luis,6,gnc,30,2020-01-01 15:11:00,1,blanca,-33.692671,-65.44963
las rosas,santa fe,6,gnc,30,2020-01-02 11:32:00,1,blanca,-32.473738,-61.588026
las rosas,santa fe,6,gnc,30,2020-01-02 11:32:00,1,blanca,-32.473738,-61.588026
mendoza,mendoza,6,gnc,27,2020-01-03 10:39:00,2,ypf,-32.89952,-68.83602
mendoza,mendoza,6,gnc,27,2020-01-03 10:39:00,2,ypf,-32.89952,-68.83602
ituzaingo,buenos aires,6,gnc,23,2020-01-31 17:42:00,2,ypf,-34.63002,-58.68835
